invoice_id,client_id,invoice_amount,invoice_issue_date,invoice_due_date,paid_date,payment_status,delay_days,payment_time,invoice_age,days_until_due,rolling_delay_mean,rolling_delay_std,client_avg_delay,client_max_delay,client_total_invoices,client_avg_invoice_value,client_late_payment_ratio,client_payment_frequency,client_name,industry
INV00145,C001,25300.0,2025-01-23,2025-03-09,2025-03-06,paid,-3.0,42.0,413,-368,3.4,12.280065146407,8.92,76.0,25,143812.0,0.4,23.25,Client_B_1,Healthcare
INV00031,C001,29500.0,2025-05-12,2025-05-27,2025-05-23,paid,-4.0,11.0,304,-289,2.8,12.617448236470002,8.92,76.0,25,143812.0,0.4,23.25,Client_B_1,Healthcare
INV00994,C001,43900.0,2025-05-27,2025-06-11,2025-06-08,paid,-3.0,12.0,289,-274,3.2,12.336936410632909,8.92,76.0,25,143812.0,0.4,23.25,Client_B_1,Healthcare
INV00822,C001,199400.0,2025-05-29,2025-06-13,2025-08-28,overdue,76.0,91.0,287,-272,18.2,34.56443258611372,8.92,76.0,25,143812.0,0.4,23.25,Client_B_1,Healthcare
INV01024,C001,38600.0,2025-06-07,2025-06-22,2025-07-16,overdue,24.0,39.0,278,-263,18.0,34.51811118818641,8.92,76.0,25,143812.0,0.4,23.25,Client_B_1,Healthcare
INV00995,C001,246400.0,2025-06-26,2025-08-10,2025-08-09,paid,-1.0,44.0,259,-214,18.4,34.224260401066374,8.92,76.0,25,143812.0,0.4,23.25,Client_B_1,Healthcare
INV00318,C001,128300.0,2025-06-27,2025-08-11,2025-08-07,paid,-4.0,41.0,258,-213,18.4,34.224260401066374,8.92,76.0,25,143812.0,0.4,23.25,Client_B_1,Healthcare
INV00048,C001,169600.0,2025-07-03,2025-09-01,2025-09-05,overdue,4.0,64.0,252,-192,19.8,33.259585084603806,8.92,76.0,25,143812.0,0.4,23.25,Client_B_1,Healthcare
INV00327,C001,168500.0,2025-07-29,2025-09-12,2025-09-09,paid,-3.0,42.0,226,-181,4.0,11.597413504743201,8.92,76.0,25,143812.0,0.4,23.25,Client_B_1,Healthcare
INV00688,C001,79100.0,2025-07-31,2025-08-30,2025-08-26,paid,-4.0,26.0,224,-194,-1.6,3.361547262794322,8.92,76.0,25,143812.0,0.4,23.25,Client_B_1,Healthcare
INV00166,C001,32200.0,2025-08-29,2025-10-13,2025-10-19,overdue,6.0,51.0,195,-150,-0.2,4.8166378315169185,8.92,76.0,25,143812.0,0.4,23.25,Client_B_1,Healthcare
INV00671,C001,316300.0,2025-09-04,2025-10-19,2025-10-19,paid,0.0,45.0,189,-144,0.6,4.335896677735761,8.92,76.0,25,143812.0,0.4,23.25,Client_B_1,Healthcare
INV00763,C001,28300.0,2025-10-03,2025-12-02,2026-01-04,overdue,33.0,93.0,160,-100,6.4,15.372052563011877,8.92,76.0,25,143812.0,0.4,23.25,Client_B_1,Healthcare
INV00480,C001,969800.0,2025-10-12,2025-11-26,2025-11-27,overdue,1.0,46.0,151,-106,7.2,14.855975228843107,8.92,76.0,25,143812.0,0.4,23.25,Client_B_1,Healthcare
INV00187,C002,473000.0,2024-02-25,2024-04-10,2024-04-09,paid,-1.0,44.0,746,-701,-1.0,0.0,-0.23,35.0,30,115833.33,0.13,20.93,Client_C_2,Technology
INV00815,C002,95500.0,2024-04-15,2024-04-30,2024-05-06,overdue,6.0,21.0,696,-681,2.5,4.949747468305833,-0.23,35.0,30,115833.33,0.13,20.93,Client_C_2,Technology
INV00809,C002,29300.0,2024-05-09,2024-06-23,2024-06-23,paid,0.0,45.0,672,-627,1.6666666666666667,3.7859388972001824,-0.23,35.0,30,115833.33,0.13,20.93,Client_C_2,Technology
INV00390,C002,150200.0,2024-05-10,2024-05-25,2024-05-22,paid,-3.0,12.0,671,-656,0.5,3.872983346207417,-0.23,35.0,30,115833.33,0.13,20.93,Client_C_2,Technology
INV00631,C002,71700.0,2024-06-22,2024-07-22,2024-07-19,paid,-3.0,27.0,628,-598,-0.2,3.7013511046643495,-0.23,35.0,30,115833.33,0.13,20.93,Client_C_2,Technology
INV00258,C002,253300.0,2024-07-03,2024-08-02,2024-09-06,overdue,35.0,65.0,617,-587,7.0,16.077935190813527,-0.23,35.0,30,115833.33,0.13,20.93,Client_C_2,Technology
INV00157,C002,78700.0,2024-09-05,2024-09-20,2024-09-18,paid,-2.0,13.0,553,-538,5.4,16.592166826548002,-0.23,35.0,30,115833.33,0.13,20.93,Client_C_2,Technology
INV00620,C002,100000.0,2024-09-05,2024-10-05,2024-10-04,paid,-1.0,29.0,553,-523,5.2,16.67932852365466,-0.23,35.0,30,115833.33,0.13,20.93,Client_C_2,Technology
INV00071,C002,238100.0,2024-10-18,2024-11-17,2024-11-13,paid,-4.0,26.0,510,-480,5.0,16.80773631397161,-0.23,35.0,30,115833.33,0.13,20.93,Client_C_2,Technology
INV00736,C002,43200.0,2024-10-22,2024-11-21,2024-11-17,paid,-4.0,26.0,506,-476,4.8,16.93221781102523,-0.23,35.0,30,115833.33,0.13,20.93,Client_C_2,Technology
INV00675,C002,25300.0,2024-11-04,2024-12-19,2024-12-19,paid,0.0,45.0,493,-448,-2.2,1.788854381999816,-0.23,35.0,30,115833.33,0.13,20.93,Client_C_2,Technology
INV00840,C002,29400.0,2024-11-18,2025-01-17,2025-01-12,paid,-5.0,55.0,479,-419,-2.8,2.167948338867867,-0.23,35.0,30,115833.33,0.13,20.93,Client_C_2,Technology
INV00070,C002,163500.0,2024-12-23,2025-01-07,2025-01-05,paid,-2.0,13.0,444,-429,-3.0,1.9999999999999858,-0.23,35.0,30,115833.33,0.13,20.93,Client_C_2,Technology
INV01183,C002,274700.0,2025-01-09,2025-01-24,2025-01-21,paid,-3.0,12.0,427,-412,-2.8,1.9235384061671197,-0.23,35.0,30,115833.33,0.13,20.93,Client_C_2,Technology
INV00826,C002,63200.0,2025-01-12,2025-02-11,2025-02-09,paid,-2.0,28.0,424,-394,-2.4,1.8165902124584794,-0.23,35.0,30,115833.33,0.13,20.93,Client_C_2,Technology
INV01008,C002,46600.0,2025-01-27,2025-03-13,2025-03-14,overdue,1.0,46.0,409,-364,-2.2,2.167948338867867,-0.23,35.0,30,115833.33,0.13,20.93,Client_C_2,Technology
INV00890,C002,91400.0,2025-02-09,2025-02-24,2025-02-22,paid,-2.0,13.0,396,-381,-1.6,1.5165750888102913,-0.23,35.0,30,115833.33,0.13,20.93,Client_C_2,Technology
INV00486,C002,236600.0,2025-03-02,2025-03-17,2025-03-12,paid,-5.0,10.0,375,-360,-2.2,2.167948338867867,-0.23,35.0,30,115833.33,0.13,20.93,Client_C_2,Technology
INV00419,C002,64900.0,2025-03-05,2025-05-04,2025-05-23,overdue,19.0,79.0,372,-312,2.2,9.628083921528725,-0.23,35.0,30,115833.33,0.13,20.93,Client_C_2,Technology
INV00824,C002,33200.0,2025-04-21,2025-06-05,2025-06-03,paid,-2.0,43.0,325,-280,2.2,9.628083921528725,-0.23,35.0,30,115833.33,0.13,20.93,Client_C_2,Technology
INV01031,C002,191300.0,2025-05-20,2025-06-19,2025-06-15,paid,-4.0,26.0,296,-266,1.2,10.034938963441679,-0.23,35.0,30,115833.33,0.13,20.93,Client_C_2,Technology
INV00345,C002,236400.0,2025-06-08,2025-06-23,2025-06-23,paid,0.0,15.0,277,-262,1.6,9.914635646356347,-0.23,35.0,30,115833.33,0.13,20.93,Client_C_2,Technology
INV00164,C002,18700.0,2025-06-18,2025-08-02,2025-07-29,paid,-4.0,41.0,267,-222,1.8,9.75704873412037,-0.23,35.0,30,115833.33,0.13,20.93,Client_C_2,Technology
INV01047,C002,117600.0,2025-09-18,2025-10-03,2025-09-28,paid,-5.0,10.0,175,-160,-3.0,1.9999999999999858,-0.23,35.0,30,115833.33,0.13,20.93,Client_C_2,Technology
INV01112,C002,89500.0,2025-09-22,2025-11-06,2025-11-02,paid,-4.0,41.0,171,-126,-3.4,1.9493588689617782,-0.23,35.0,30,115833.33,0.13,20.93,Client_C_2,Technology
INV00064,C002,48400.0,2025-09-26,2025-10-11,2025-10-07,paid,-4.0,11.0,167,-152,-3.4,1.9493588689617782,-0.23,35.0,30,115833.33,0.13,20.93,Client_C_2,Technology
INV00229,C002,18100.0,2025-10-07,2025-11-06,2025-11-04,paid,-2.0,28.0,156,-126,-3.8,1.0954451150103062,-0.23,35.0,30,115833.33,0.13,20.93,Client_C_2,Technology
INV00993,C002,22800.0,2025-10-11,2025-10-26,2025-10-25,paid,-1.0,14.0,152,-137,-3.2,1.6431676725154811,-0.23,35.0,30,115833.33,0.13,20.93,Client_C_2,Technology
INV00971,C002,39000.0,2025-10-20,2025-12-04,2025-12-01,paid,-3.0,42.0,143,-98,-2.8,1.303840481040508,-0.23,35.0,30,115833.33,0.13,20.93,Client_C_2,Technology
INV00699,C002,131400.0,2025-10-24,2025-12-23,2025-12-21,paid,-2.0,58.0,139,-79,-2.4,1.140175425099113,-0.23,35.0,30,115833.33,0.13,20.93,Client_C_2,Technology
INV00413,C002,25700.0,2025-10-27,2025-12-11,,pending,,,136,-91,-2.0,0.8164965809276796,-0.23,35.0,30,115833.33,0.13,20.93,Client_C_2,Technology
INV00285,C003,366000.0,2024-04-20,2024-05-20,2024-05-16,paid,-4.0,26.0,691,-661,-4.0,0.0,4.05,36.0,20,228950.0,0.45,29.32,Client_D_3,Finance
INV00470,C003,25300.0,2024-05-12,2024-05-27,2024-06-18,overdue,22.0,37.0,669,-654,9.0,18.384776310850235,4.05,36.0,20,228950.0,0.45,29.32,Client_D_3,Finance
INV00010,C003,395200.0,2024-08-22,2024-09-06,2024-09-03,paid,-3.0,12.0,567,-552,5.0,14.730919862656235,4.05,36.0,20,228950.0,0.45,29.32,Client_D_3,Finance
INV00421,C003,31600.0,2024-09-04,2024-10-04,2024-10-28,overdue,24.0,54.0,554,-524,9.75,15.326991442115007,4.05,36.0,20,228950.0,0.45,29.32,Client_D_3,Finance
INV00283,C003,1503500.0,2024-09-27,2024-10-12,2024-10-07,paid,-5.0,10.0,531,-516,6.8,14.822280526288793,4.05,36.0,20,228950.0,0.45,29.32,Client_D_3,Finance
INV00895,C003,35100.0,2024-10-28,2024-11-27,2025-01-02,overdue,36.0,66.0,500,-470,14.8,17.991664736760743,4.05,36.0,20,228950.0,0.45,29.32,Client_D_3,Finance
INV01148,C003,352600.0,2024-12-18,2025-01-17,2025-01-12,paid,-5.0,25.0,449,-419,9.4,19.295077092357005,4.05,36.0,20,228950.0,0.45,29.32,Client_D_3,Finance
INV00878,C003,167600.0,2024-12-29,2025-01-28,2025-02-02,overdue,5.0,35.0,438,-408,11.0,18.3166590840142,4.05,36.0,20,228950.0,0.45,29.32,Client_D_3,Finance
INV00749,C003,277900.0,2025-02-25,2025-03-12,2025-03-07,paid,-5.0,10.0,380,-365,5.2,17.75387281693772,4.05,36.0,20,228950.0,0.45,29.32,Client_D_3,Finance
INV00443,C003,445200.0,2025-03-16,2025-04-15,2025-04-13,paid,-2.0,28.0,361,-331,5.8,17.369513522260778,4.05,36.0,20,228950.0,0.45,29.32,Client_D_3,Finance
INV00128,C003,44200.0,2025-03-26,2025-04-10,2025-04-09,paid,-1.0,14.0,351,-336,-1.6,4.098780306383833,4.05,36.0,20,228950.0,0.45,29.32,Client_D_3,Finance
INV00708,C003,33600.0,2025-04-08,2025-05-23,2025-06-04,overdue,12.0,57.0,338,-293,1.8,6.760177512462223,4.05,36.0,20,228950.0,0.45,29.32,Client_D_3,Finance
INV00912,C003,138300.0,2025-05-09,2025-05-24,2025-05-19,paid,-5.0,10.0,307,-292,-0.2,7.049822692805822,4.05,36.0,20,228950.0,0.45,29.32,Client_D_3,Finance
INV01157,C003,160600.0,2025-05-12,2025-07-11,2025-07-12,overdue,1.0,61.0,304,-244,1.0,6.519202405202643,4.05,36.0,20,228950.0,0.45,29.32,Client_D_3,Finance
INV00225,C003,103500.0,2025-06-14,2025-07-29,2025-07-26,paid,-3.0,42.0,271,-226,0.8,6.64830805543786,4.05,36.0,20,228950.0,0.45,29.32,Client_D_3,Finance
INV00051,C003,107700.0,2025-07-07,2025-07-22,2025-07-21,paid,-1.0,14.0,248,-233,0.8,6.64830805543786,4.05,36.0,20,228950.0,0.45,29.32,Client_D_3,Finance
INV01193,C003,123800.0,2025-08-10,2025-09-09,2025-09-19,overdue,10.0,40.0,214,-184,0.4,5.8137767414994475,4.05,36.0,20,228950.0,0.45,29.32,Client_D_3,Finance
INV00975,C003,203200.0,2025-09-15,2025-10-30,2025-10-31,overdue,1.0,46.0,178,-133,1.6,4.9799598391954865,4.05,36.0,20,228950.0,0.45,29.32,Client_D_3,Finance
INV00244,C003,51600.0,2025-10-29,2025-11-28,2025-11-28,paid,0.0,30.0,134,-104,1.4,5.02991053598371,4.05,36.0,20,228950.0,0.45,29.32,Client_D_3,Finance
INV00377,C003,12500.0,2025-10-29,2025-11-28,2025-12-02,overdue,4.0,34.0,134,-104,2.8,4.438468204234422,4.05,36.0,20,228950.0,0.45,29.32,Client_D_3,Finance
INV00191,C004,50600.0,2024-04-26,2024-05-11,2024-05-11,paid,0.0,15.0,685,-670,0.0,0.0,2.71,46.0,21,130423.81,0.24,27.0,Client_E_4,Manufacturing
INV00477,C004,27600.0,2024-06-05,2024-07-20,2024-09-04,overdue,46.0,91.0,645,-600,23.0,32.526911934581186,2.71,46.0,21,130423.81,0.24,27.0,Client_E_4,Manufacturing
INV01188,C004,64300.0,2024-07-10,2024-08-09,2024-08-04,paid,-5.0,25.0,610,-580,13.666666666666666,28.112867753634337,2.71,46.0,21,130423.81,0.24,27.0,Client_E_4,Manufacturing
INV00619,C004,58700.0,2024-07-13,2024-07-28,2024-07-25,paid,-3.0,12.0,607,-592,9.5,24.419937209856485,2.71,46.0,21,130423.81,0.24,27.0,Client_E_4,Manufacturing
INV00684,C004,38400.0,2024-07-24,2024-09-22,2024-09-19,paid,-3.0,57.0,596,-536,7.0,21.874642854227357,2.71,46.0,21,130423.81,0.24,27.0,Client_E_4,Manufacturing
INV00820,C004,142700.0,2024-09-11,2024-11-10,2024-11-08,paid,-2.0,58.0,547,-487,6.6,22.052210773525633,2.71,46.0,21,130423.81,0.24,27.0,Client_E_4,Manufacturing
INV00717,C004,121200.0,2024-10-12,2024-10-27,2024-10-23,paid,-4.0,11.0,516,-501,-3.4,1.140175425099138,2.71,46.0,21,130423.81,0.24,27.0,Client_E_4,Manufacturing
INV00710,C004,22600.0,2024-12-17,2025-01-01,2024-12-31,paid,-1.0,14.0,450,-435,-2.6,1.140175425099138,2.71,46.0,21,130423.81,0.24,27.0,Client_E_4,Manufacturing
INV00985,C004,16700.0,2025-01-02,2025-02-16,2025-02-11,paid,-5.0,40.0,434,-389,-3.0,1.5811388300841898,2.71,46.0,21,130423.81,0.24,27.0,Client_E_4,Manufacturing
INV00297,C004,14800.0,2025-01-11,2025-02-25,2025-03-08,overdue,11.0,56.0,425,-380,-0.2,6.457553716385176,2.71,46.0,21,130423.81,0.24,27.0,Client_E_4,Manufacturing
INV00725,C004,92500.0,2025-01-17,2025-02-16,2025-02-13,paid,-3.0,27.0,419,-389,-0.4,6.54217089351845,2.71,46.0,21,130423.81,0.24,27.0,Client_E_4,Manufacturing
INV00662,C004,50800.0,2025-01-24,2025-02-08,2025-02-06,paid,-2.0,13.0,412,-397,0.0,6.324555320336758,2.71,46.0,21,130423.81,0.24,27.0,Client_E_4,Manufacturing
INV01116,C004,25400.0,2025-02-17,2025-03-04,2025-03-03,paid,-1.0,14.0,388,-373,0.0,6.324555320336758,2.71,46.0,21,130423.81,0.24,27.0,Client_E_4,Manufacturing
INV01130,C004,52600.0,2025-03-21,2025-04-05,2025-04-04,paid,-1.0,14.0,356,-341,0.8,5.761944116355173,2.71,46.0,21,130423.81,0.24,27.0,Client_E_4,Manufacturing
INV00516,C004,117200.0,2025-06-11,2025-07-11,2025-07-07,paid,-4.0,26.0,274,-244,-2.2,1.3038404810405297,2.71,46.0,21,130423.81,0.24,27.0,Client_E_4,Manufacturing
INV01078,C004,56600.0,2025-06-27,2025-07-12,2025-07-09,paid,-3.0,12.0,258,-243,-2.2,1.3038404810405297,2.71,46.0,21,130423.81,0.24,27.0,Client_E_4,Manufacturing
INV00906,C004,80700.0,2025-07-13,2025-09-11,2025-09-14,overdue,3.0,63.0,242,-182,-1.2,2.6832815729997477,2.71,46.0,21,130423.81,0.24,27.0,Client_E_4,Manufacturing
INV00332,C004,514800.0,2025-07-23,2025-09-06,2025-09-22,overdue,16.0,61.0,232,-187,2.2,8.167006795638168,2.71,46.0,21,130423.81,0.24,27.0,Client_E_4,Manufacturing
INV00734,C004,964400.0,2025-08-01,2025-08-16,2025-08-15,paid,-1.0,14.0,223,-208,2.2,8.167006795638168,2.71,46.0,21,130423.81,0.24,27.0,Client_E_4,Manufacturing
INV00405,C004,207100.0,2025-10-18,2025-12-17,2025-12-13,paid,-4.0,56.0,145,-85,2.2,8.167006795638168,2.71,46.0,21,130423.81,0.24,27.0,Client_E_4,Manufacturing
INV00778,C004,19200.0,2025-10-18,2025-11-17,2025-12-10,overdue,23.0,53.0,145,-115,7.4,11.588787684654509,2.71,46.0,21,130423.81,0.24,27.0,Client_E_4,Manufacturing
INV00422,C005,119200.0,2024-01-02,2024-02-16,2024-04-13,overdue,57.0,102.0,800,-755,57.0,0.0,5.84,57.0,19,138926.32,0.32,37.17,Client_F_5,Manufacturing
INV01006,C005,48700.0,2024-01-05,2024-02-04,2024-02-11,overdue,7.0,37.0,797,-767,32.0,35.35533905932738,5.84,57.0,19,138926.32,0.32,37.17,Client_F_5,Manufacturing
INV00357,C005,286600.0,2024-01-22,2024-03-07,2024-04-03,overdue,27.0,72.0,780,-735,30.333333333333332,25.166114784235834,5.84,57.0,19,138926.32,0.32,37.17,Client_F_5,Manufacturing
INV00354,C005,103200.0,2024-02-13,2024-04-13,2024-04-17,overdue,4.0,64.0,758,-698,23.75,24.404576073624664,5.84,57.0,19,138926.32,0.32,37.17,Client_F_5,Manufacturing
INV00719,C005,105700.0,2024-04-26,2024-06-10,2024-06-07,paid,-3.0,42.0,685,-640,18.4,24.285798319182344,5.84,57.0,19,138926.32,0.32,37.17,Client_F_5,Manufacturing
INV00922,C005,480200.0,2024-04-28,2024-06-12,2024-06-09,paid,-3.0,42.0,683,-638,6.4,12.32071426500915,5.84,57.0,19,138926.32,0.32,37.17,Client_F_5,Manufacturing
INV00693,C005,157200.0,2024-06-06,2024-08-05,2024-08-05,paid,0.0,60.0,644,-584,5.0,12.629330940315086,5.84,57.0,19,138926.32,0.32,37.17,Client_F_5,Manufacturing
INV01200,C005,14600.0,2024-08-12,2024-10-11,2024-10-07,paid,-4.0,56.0,577,-517,-1.2,3.2710854467592116,5.84,57.0,19,138926.32,0.32,37.17,Client_F_5,Manufacturing
INV00215,C005,30200.0,2024-10-02,2024-10-17,2024-10-16,paid,-1.0,14.0,526,-511,-2.2,1.6431676725154705,5.84,57.0,19,138926.32,0.32,37.17,Client_F_5,Manufacturing
INV00392,C005,43200.0,2024-11-12,2024-12-12,2024-12-10,paid,-2.0,28.0,485,-455,-2.0,1.5811388300841611,5.84,57.0,19,138926.32,0.32,37.17,Client_F_5,Manufacturing
INV00540,C005,41000.0,2024-12-19,2025-01-18,2025-02-17,overdue,30.0,60.0,448,-418,4.6,14.275853739794336,5.84,57.0,19,138926.32,0.32,37.17,Client_F_5,Manufacturing
INV00321,C005,32700.0,2025-02-27,2025-04-13,2025-04-10,paid,-3.0,42.0,378,-333,4.0,14.57737973711325,5.84,57.0,19,138926.32,0.32,37.17,Client_F_5,Manufacturing
INV00319,C005,668500.0,2025-03-16,2025-03-31,2025-03-31,paid,0.0,15.0,361,-346,4.8,14.1315250415516,5.84,57.0,19,138926.32,0.32,37.17,Client_F_5,Manufacturing
INV00363,C005,20000.0,2025-06-27,2025-07-27,2025-07-25,paid,-2.0,28.0,258,-228,4.6,14.240786495134316,5.84,57.0,19,138926.32,0.32,37.17,Client_F_5,Manufacturing
INV00058,C005,119200.0,2025-07-09,2025-07-24,2025-07-24,paid,0.0,15.0,246,-231,5.0,14.035668847618197,5.84,57.0,19,138926.32,0.32,37.17,Client_F_5,Manufacturing
INV00621,C005,177400.0,2025-07-19,2025-09-02,2025-08-30,paid,-3.0,42.0,236,-191,-1.6,1.5165750888102911,5.84,57.0,19,138926.32,0.32,37.17,Client_F_5,Manufacturing
INV00272,C005,42900.0,2025-09-27,2025-11-11,2025-11-06,paid,-5.0,40.0,166,-121,-2.0,2.1213203435596286,5.84,57.0,19,138926.32,0.32,37.17,Client_F_5,Manufacturing
INV01038,C005,53700.0,2025-10-24,2025-11-23,2025-12-06,overdue,13.0,43.0,139,-109,0.6,7.16240183178799,5.84,57.0,19,138926.32,0.32,37.17,Client_F_5,Manufacturing
INV00320,C005,95400.0,2025-11-01,2025-12-01,2025-11-30,paid,-1.0,29.0,131,-101,0.8,7.085195833567337,5.84,57.0,19,138926.32,0.32,37.17,Client_F_5,Manufacturing
INV00046,C006,72400.0,2024-02-25,2024-03-11,2024-03-31,overdue,20.0,35.0,746,-731,20.0,0.0,-0.14,20.0,21,133095.24,0.19,26.15,Client_G_6,Retail
INV00724,C006,325700.0,2024-04-30,2024-05-30,2024-05-29,paid,-1.0,29.0,681,-651,9.5,14.849242404917497,-0.14,20.0,21,133095.24,0.19,26.15,Client_G_6,Retail
INV00845,C006,107300.0,2024-05-03,2024-06-17,2024-06-16,paid,-1.0,44.0,678,-633,6.0,12.12435565298214,-0.14,20.0,21,133095.24,0.19,26.15,Client_G_6,Retail
INV00807,C006,67200.0,2024-05-20,2024-06-04,2024-06-09,overdue,5.0,20.0,661,-646,5.75,9.912113800799505,-0.14,20.0,21,133095.24,0.19,26.15,Client_G_6,Retail
INV00913,C006,24800.0,2024-06-17,2024-08-16,2024-08-25,overdue,9.0,69.0,633,-573,6.4,8.706319543871567,-0.14,20.0,21,133095.24,0.19,26.15,Client_G_6,Retail
INV00092,C006,56800.0,2024-08-15,2024-09-14,2024-09-11,paid,-3.0,27.0,574,-544,1.8,5.019960159204453,-0.14,20.0,21,133095.24,0.19,26.15,Client_G_6,Retail
INV00409,C006,47100.0,2024-08-15,2024-10-14,2024-10-14,paid,0.0,60.0,574,-514,2.0,4.898979485566356,-0.14,20.0,21,133095.24,0.19,26.15,Client_G_6,Retail
INV00984,C006,64400.0,2024-08-15,2024-10-14,2024-10-09,paid,-5.0,55.0,574,-514,1.2,5.761944116355173,-0.14,20.0,21,133095.24,0.19,26.15,Client_G_6,Retail
INV00711,C006,54400.0,2024-09-06,2024-10-06,2024-10-04,paid,-2.0,28.0,552,-522,-0.2,5.449770637375486,-0.14,20.0,21,133095.24,0.19,26.15,Client_G_6,Retail
INV00004,C006,53600.0,2024-10-11,2024-12-10,2024-12-08,paid,-2.0,58.0,517,-457,-2.4,1.816590212458497,-0.14,20.0,21,133095.24,0.19,26.15,Client_G_6,Retail
INV00204,C006,26000.0,2024-10-16,2024-12-15,2024-12-16,overdue,1.0,61.0,512,-452,-1.6,2.302172886644269,-0.14,20.0,21,133095.24,0.19,26.15,Client_G_6,Retail
INV00136,C006,138000.0,2024-11-01,2024-12-31,2024-12-28,paid,-3.0,57.0,496,-436,-2.2,2.1679483388678817,-0.14,20.0,21,133095.24,0.19,26.15,Client_G_6,Retail
INV00105,C006,47500.0,2024-11-03,2024-12-18,2024-12-16,paid,-2.0,43.0,494,-449,-1.6,1.5165750888103122,-0.14,20.0,21,133095.24,0.19,26.15,Client_G_6,Retail
INV00139,C006,461900.0,2024-12-10,2025-02-08,2025-02-05,paid,-3.0,57.0,457,-397,-1.8,1.6431676725155004,-0.14,20.0,21,133095.24,0.19,26.15,Client_G_6,Retail
INV00085,C006,124100.0,2025-01-01,2025-01-31,2025-01-26,paid,-5.0,25.0,435,-405,-2.4,2.190890230020666,-0.14,20.0,21,133095.24,0.19,26.15,Client_G_6,Retail
INV00616,C006,21000.0,2025-01-21,2025-02-05,2025-02-04,paid,-1.0,14.0,415,-400,-2.8,1.4832396974191355,-0.14,20.0,21,133095.24,0.19,26.15,Client_G_6,Retail
INV00131,C006,378100.0,2025-01-27,2025-02-26,2025-02-26,paid,0.0,30.0,409,-379,-2.2,1.9235384061671363,-0.14,20.0,21,133095.24,0.19,26.15,Client_G_6,Retail
INV00695,C006,67800.0,2025-06-02,2025-08-01,2025-07-30,paid,-2.0,58.0,283,-223,-2.2,1.9235384061671363,-0.14,20.0,21,133095.24,0.19,26.15,Client_G_6,Retail
INV00649,C006,20200.0,2025-06-24,2025-07-09,2025-07-04,paid,-5.0,10.0,261,-246,-2.6,2.3021728866442692,-0.14,20.0,21,133095.24,0.19,26.15,Client_G_6,Retail
INV00638,C006,521400.0,2025-06-26,2025-08-10,2025-08-08,paid,-2.0,43.0,259,-214,-2.0,1.8708286933869724,-0.14,20.0,21,133095.24,0.19,26.15,Client_G_6,Retail
INV00065,C006,115300.0,2025-08-01,2025-09-15,2025-09-14,paid,-1.0,44.0,223,-178,-2.0,1.8708286933869724,-0.14,20.0,21,133095.24,0.19,26.15,Client_G_6,Retail
INV01059,C006,49700.0,2025-10-20,2025-12-19,,pending,,,143,-83,-2.5,1.7320508075688803,-0.14,20.0,21,133095.24,0.19,26.15,Client_G_6,Retail
